CustomerID,PointsBalance,PointsExpiryDate,LastPurchaseDate,PreferredChannel,CustomerName,Email
CUST1026,905,2025-03-21,2025-03-26,SMS,Customer_26,user26@example.com
CUST1027,485,2025-05-20,2024-10-05,SMS,Customer_27,user27@example.com
CUST1028,1315,2025-05-22,2024-11-21,Email,Customer_28,user28@example.com
CUST1029,1055,2025-05-19,2024-12-01,SMS,Customer_29,user29@example.com
CUST1030,376,2025-04-01,2025-01-26,SMS,Customer_30,user30@example.com
CUST1031,1284,2025-04-23,2025-01-11,Email,Customer_31,user31@example.com
CUST1032,559,2025-03-18,2025-03-22,SMS,Customer_32,user32@example.com
CUST1033,1437,2025-03-29,2025-02-18,Email,Customer_33,user33@example.com
CUST1034,121,2025-04-30,2024-11-26,Email,Customer_34,user34@example.com
CUST1035,352,2025-03-22,2024-12-07,SMS,Customer_35,user35@example.com
CUST1036,847,2025-03-19,2025-03-07,Email,Customer_36,user36@example.com
CUST1037,956,2025-04-15,2024-11-27,Email,Customer_37,user37@example.com
CUST1038,1684,2025-03-20,2025-03-26,Email,Customer_38,user38@example.com
CUST1039,574,2025-03-29,2024-12-23,Email,Customer_39,user39@example.com
CUST1040,1182,2025-04-19,2024-09-30,SMS,Customer_40,user40@example.com
CUST1041,610,2025-05-12,2024-11-01,Email,Customer_41,user41@example.com
CUST1042,1805,2025-04-13,2025-03-12,SMS,Customer_42,user42@example.com
CUST1043,1599,2025-05-23,2025-01-22,Email,Customer_43,user43@example.com
CUST1044,799,2025-05-15,2025-03-20,Email,Customer_44,user44@example.com
CUST1045,1075,2025-05-24,2024-11-22,Email,Customer_45,user45@example.com
CUST1046,1906,2025-03-18,2025-03-16,Email,Customer_46,user46@example.com
CUST1047,289,2025-03-20,2025-02-06,SMS,Customer_47,user47@example.com
CUST1048,1057,2025-04-28,2025-01-21,SMS,Customer_48,user48@example.com
CUST1049,786,2025-03-30,2024-12-15,Email,Customer_49,user49@example.com
CUST1050,1057,2025-05-15,2024-10-02,Email,Customer_50,user50@example.com
CUST1051,662,2025-04-20,2025-03-20,SMS,Customer_51,user51@example.com
CUST1052,1999,2025-04-06,2025-01-28,Email,Customer_52,user52@example.com
CUST1053,1690,2025-05-25,2025-01-14,Email,Customer_53,user53@example.com
CUST1054,1367,2025-04-10,2025-01-21,Email,Customer_54,user54@example.com
CUST1055,931,2025-04-14,2025-03-15,SMS,Customer_55,user55@example.com
CUST1056,1628,2025-03-19,2024-11-14,SMS,Customer_56,user56@example.com
CUST1057,1254,2025-05-04,2024-11-17,SMS,Customer_57,user57@example.com
CUST1058,1608,2025-03-30,2024-11-19,Email,Customer_58,user58@example.com
CUST1059,1942,2025-05-20,2025-01-22,Email,Customer_59,user59@example.com
CUST1060,746,2025-03-22,2024-12-09,SMS,Customer_60,user60@example.com
CUST1061,120,2025-03-23,2024-12-04,SMS,Customer_61,user61@example.com
CUST1062,940,2025-03-18,2024-12-06,SMS,Customer_62,user62@example.com
CUST1063,266,2025-05-18,2024-10-15,SMS,Customer_63,user63@example.com
CUST1064,1397,2025-05-17,2024-12-17,Email,Customer_64,user64@example.com
CUST1065,487,2025-04-23,2024-12-01,SMS,Customer_65,user65@example.com
CUST1066,700,2025-04-14,2025-03-25,Email,Customer_66,user66@example.com
CUST1067,415,2025-04-03,2025-02-15,SMS,Customer_67,user67@example.com
CUST1068,113,2025-05-27,2024-12-01,Email,Customer_68,user68@example.com
CUST1069,341,2025-04-08,2025-01-17,SMS,Customer_69,user69@example.com
CUST1070,876,2025-04-23,2025-03-05,SMS,Customer_70,user70@example.com
CUST1071,1469,2025-05-12,2024-10-21,SMS,Customer_71,user71@example.com
CUST1072,664,2025-03-31,2024-11-14,SMS,Customer_72,user72@example.com
CUST1073,997,2025-04-14,2025-03-01,Email,Customer_73,user73@example.com
CUST1074,1463,2025-05-19,2024-12-04,SMS,Customer_74,user74@example.com
CUST1075,191,2025-05-05,2024-11-25,Email,Customer_75,user75@example.com
CUST1076,1490,2025-05-27,2024-12-21,Email,Customer_76,user76@example.com
CUST1077,1055,2025-05-01,2025-02-27,Email,Customer_77,user77@example.com
CUST1078,1578,2025-04-30,2025-03-25,Email,Customer_78,user78@example.com
CUST1079,1551,2025-04-07,2025-03-06,SMS,Customer_79,user79@example.com
CUST1080,608,2025-04-09,2025-01-09,Email,Customer_80,user80@example.com
CUST1081,875,2025-03-21,2025-02-05,Email,Customer_81,user81@example.com
CUST1082,134,2025-03-19,2024-12-27,Email,Customer_82,user82@example.com
CUST1083,305,2025-04-29,2024-11-28,SMS,Customer_83,user83@example.com
CUST1084,1204,2025-05-18,2025-03-16,SMS,Customer_84,user84@example.com
CUST1085,1685,2025-04-22,2024-11-15,SMS,Customer_85,user85@example.com
CUST1086,1995,2025-05-02,2024-12-08,SMS,Customer_86,user86@example.com
CUST1087,1511,2025-05-13,2025-02-04,Email,Customer_87,user87@example.com
CUST1088,1125,2025-05-08,2025-01-05,Email,Customer_88,user88@example.com
CUST1089,1121,2025-03-24,2025-01-26,SMS,Customer_89,user89@example.com
CUST1090,1513,2025-05-27,2024-12-18,Email,Customer_90,user90@example.com
CUST1091,665,2025-03-21,2025-03-23,Email,Customer_91,user91@example.com
CUST1092,1229,2025-05-25,2025-02-27,Email,Customer_92,user92@example.com
CUST1093,1895,2025-05-02,2025-03-18,SMS,Customer_93,user93@example.com
CUST1094,1945,2025-04-06,2024-11-23,SMS,Customer_94,user94@example.com
CUST1095,1600,2025-05-24,2024-10-10,Email,Customer_95,user95@example.com
CUST1096,802,2025-04-26,2024-10-05,SMS,Customer_96,user96@example.com
CUST1097,501,2025-05-07,2024-11-03,SMS,Customer_97,user97@example.com
CUST1098,829,2025-05-22,2025-02-14,SMS,Customer_98,user98@example.com
CUST1099,1679,2025-04-11,2025-03-25,SMS,Customer_99,user99@example.com
CUST1100,261,2025-05-10,2025-01-04,SMS,Customer_100,user100@example.com
CUST1101,301,2025-04-09,2024-11-12,Email,Customer_101,user101@example.com
CUST1102,1095,2025-04-20,2024-12-09,SMS,Customer_102,user102@example.com
CUST1103,369,2025-05-15,2024-10-28,Email,Customer_103,user103@example.com
CUST1104,1986,2025-05-23,2024-12-05,Email,Customer_104,user104@example.com
CUST1105,915,2025-03-22,2024-11-14,SMS,Customer_105,user105@example.com
CUST1106,1394,2025-03-19,2024-10-07,Email,Customer_106,user106@example.com
CUST1107,555,2025-05-12,2024-10-21,Email,Customer_107,user107@example.com
CUST1108,1585,2025-04-09,2025-02-11,Email,Customer_108,user108@example.com
CUST1109,1850,2025-05-20,2024-10-13,SMS,Customer_109,user109@example.com
CUST1110,1375,2025-04-19,2025-03-17,SMS,Customer_110,user110@example.com
CUST1111,1116,2025-04-27,2024-11-01,Email,Customer_111,user111@example.com
CUST1112,1825,2025-04-22,2024-11-05,SMS,Customer_112,user112@example.com
CUST1113,395,2025-04-15,2024-12-05,SMS,Customer_113,user113@example.com
CUST1114,1848,2025-05-21,2025-01-26,SMS,Customer_114,user114@example.com
CUST1115,819,2025-05-11,2024-12-09,SMS,Customer_115,user115@example.com
CUST1116,1872,2025-03-22,2024-10-14,Email,Customer_116,user116@example.com
CUST1117,437,2025-03-22,2024-11-08,Email,Customer_117,user117@example.com
CUST1118,978,2025-05-22,2024-10-21,SMS,Customer_118,user118@example.com
CUST1119,1176,2025-05-25,2024-10-17,SMS,Customer_119,user119@example.com
CUST1120,891,2025-04-08,2024-10-04,Email,Customer_120,user120@example.com
CUST1121,316,2025-04-02,2024-10-30,Email,Customer_121,user121@example.com
CUST1122,863,2025-03-31,2025-02-14,SMS,Customer_122,user122@example.com
CUST1123,287,2025-03-25,2024-09-30,Email,Customer_123,user123@example.com
CUST1124,479,2025-04-26,2025-03-18,SMS,Customer_124,user124@example.com
CUST1125,592,2025-03-24,2024-11-03,SMS,Customer_125,user125@example.com
CUST1126,1164,2025-05-22,2024-10-25,Email,Customer_126,user126@example.com
CUST1127,1280,2025-04-08,2024-12-31,Email,Customer_127,user127@example.com
CUST1128,114,2025-05-14,2025-01-13,SMS,Customer_128,user128@example.com
CUST1129,1936,2025-05-19,2024-10-25,SMS,Customer_129,user129@example.com
CUST1130,164,2025-03-20,2025-02-20,Email,Customer_130,user130@example.com
CUST1131,1980,2025-05-27,2025-01-21,SMS,Customer_131,user131@example.com
CUST1132,1962,2025-05-09,2024-10-03,Email,Customer_132,user132@example.com
CUST1133,620,2025-05-24,2024-11-07,SMS,Customer_133,user133@example.com
CUST1134,1467,2025-04-28,2024-12-24,Email,Customer_134,user134@example.com
CUST1135,1252,2025-04-15,2024-11-17,Email,Customer_135,user135@example.com
CUST1136,747,2025-05-26,2024-10-06,Email,Customer_136,user136@example.com
CUST1137,1595,2025-05-13,2024-11-13,SMS,Customer_137,user137@example.com
CUST1138,1186,2025-05-14,2025-03-16,SMS,Customer_138,user138@example.com
CUST1139,1262,2025-04-10,2025-03-26,Email,Customer_139,user139@example.com
CUST1140,1622,2025-05-21,2025-01-31,SMS,Customer_140,user140@example.com
CUST1141,692,2025-05-13,2024-10-22,Email,Customer_141,user141@example.com
CUST1142,491,2025-05-17,2024-11-14,Email,Customer_142,user142@example.com
CUST1143,1798,2025-04-27,2025-03-03,SMS,Customer_143,user143@example.com
CUST1144,518,2025-04-26,2025-01-17,SMS,Customer_144,user144@example.com
CUST1145,388,2025-05-18,2024-12-15,Email,Customer_145,user145@example.com
CUST1146,478,2025-04-06,2024-12-16,SMS,Customer_146,user146@example.com
CUST1147,1896,2025-04-02,2025-01-22,SMS,Customer_147,user147@example.com
CUST1148,1613,2025-04-26,2024-09-29,Email,Customer_148,user148@example.com
CUST1149,330,2025-04-01,2024-11-13,Email,Customer_149,user149@example.com
CUST1150,1117,2025-04-16,2025-01-13,SMS,Customer_150,user150@example.com
CUST1151,140,2025-05-18,2024-11-05,Email,Customer_151,user151@example.com
CUST1152,1151,2025-04-30,2025-01-13,Email,Customer_152,user152@example.com
CUST1153,234,2025-03-26,2025-03-15,SMS,Customer_153,user153@example.com
CUST1154,300,2025-03-20,2025-03-24,Email,Customer_154,user154@example.com
CUST1155,1963,2025-03-26,2024-10-14,Email,Customer_155,user155@example.com
CUST1156,879,2025-05-17,2024-11-23,SMS,Customer_156,user156@example.com
CUST1157,1029,2025-04-13,2025-01-05,SMS,Customer_157,user157@example.com
CUST1158,1156,2025-04-18,2024-11-18,Email,Customer_158,user158@example.com
CUST1159,1171,2025-05-03,2025-02-20,Email,Customer_159,user159@example.com
CUST1160,602,2025-05-26,2025-02-15,SMS,Customer_160,user160@example.com
CUST1161,506,2025-04-04,2025-03-02,SMS,Customer_161,user161@example.com
CUST1162,1697,2025-04-17,2025-01-09,SMS,Customer_162,user162@example.com
CUST1163,1851,2025-04-16,2025-01-25,SMS,Customer_163,user163@example.com
CUST1164,904,2025-04-05,2025-02-17,Email,Customer_164,user164@example.com
CUST1165,198,2025-05-16,2025-03-21,SMS,Customer_165,user165@example.com
CUST1166,783,2025-04-10,2024-11-12,SMS,Customer_166,user166@example.com
CUST1167,1995,2025-05-25,2024-10-20,Email,Customer_167,user167@example.com
CUST1168,825,2025-03-28,2025-02-01,SMS,Customer_168,user168@example.com
CUST1169,1670,2025-05-09,2025-01-21,Email,Customer_169,user169@example.com
CUST1170,1060,2025-04-22,2025-03-25,SMS,Customer_170,user170@example.com
CUST1171,1862,2025-04-17,2025-02-22,SMS,Customer_171,user171@example.com
CUST1172,712,2025-04-27,2025-03-09,SMS,Customer_172,user172@example.com
CUST1173,1585,2025-05-17,2025-02-13,Email,Customer_173,user173@example.com
CUST1174,742,2025-04-25,2024-11-14,Email,Customer_174,user174@example.com
CUST1175,1892,2025-03-20,2025-01-25,SMS,Customer_175,user175@example.com
CUST1176,1128,2025-04-11,2025-02-01,Email,Customer_176,user176@example.com
CUST1177,1341,2025-04-30,2025-01-18,Email,Customer_177,user177@example.com
CUST1178,602,2025-03-30,2025-03-25,Email,Customer_178,user178@example.com
CUST1179,866,2025-04-07,2025-01-16,Email,Customer_179,user179@example.com
CUST1180,497,2025-05-06,2025-01-23,Email,Customer_180,user180@example.com
CUST1181,970,2025-03-29,2024-11-13,Email,Customer_181,user181@example.com
CUST1182,894,2025-03-21,2025-01-24,SMS,Customer_182,user182@example.com
CUST1183,492,2025-04-11,2025-02-13,SMS,Customer_183,user183@example.com
CUST1184,306,2025-03-24,2025-01-03,Email,Customer_184,user184@example.com
CUST1185,1138,2025-04-18,2025-02-07,SMS,Customer_185,user185@example.com
CUST1186,1981,2025-03-31,2025-03-08,SMS,Customer_186,user186@example.com
CUST1187,1677,2025-03-27,2025-03-11,SMS,Customer_187,user187@example.com
CUST1188,991,2025-05-14,2024-12-09,SMS,Customer_188,user188@example.com
CUST1189,1584,2025-04-26,2024-10-01,Email,Customer_189,user189@example.com
CUST1190,1814,2025-03-28,2025-03-03,SMS,Customer_190,user190@example.com
CUST1191,1698,2025-05-15,2024-10-06,SMS,Customer_191,user191@example.com
CUST1192,963,2025-03-19,2025-01-12,Email,Customer_192,user192@example.com
CUST1193,842,2025-04-06,2025-02-18,Email,Customer_193,user193@example.com
CUST1194,1364,2025-05-27,2025-01-16,SMS,Customer_194,user194@example.com
CUST1195,663,2025-04-09,2025-01-18,SMS,Customer_195,user195@example.com
CUST1196,1120,2025-05-09,2024-12-26,SMS,Customer_196,user196@example.com
CUST1197,195,2025-05-04,2025-03-01,SMS,Customer_197,user197@example.com
CUST1198,1857,2025-05-25,2024-10-03,SMS,Customer_198,user198@example.com
CUST1199,584,2025-04-02,2025-03-11,SMS,Customer_199,user199@example.com
